3,3,0
H6,C24,1339.621152
H7,C24,1451.997328
H8,C24,1435.179427
H9,C24,691.6047062
H12,C24,624.5981814
H10,C24,707.8129683
H11,C24,641.0431101
H1,C25,621.6624151
H2,C25,654.901084
H3,C25,644.5136689
H4,C25,646.9385547
H5,C25,1177.436364
H6,C25,1091.77764
H7,C25,1204.153816
H8,C25,1187.335915
H9,C25,1194.077971
H12,C25,1394.117713
H10,C25,1270.540681
H11,C25,1295.4971
H1,C26,1310.457397
H2,C26,1343.696065
H3,C26,1333.30865
H4,C26,1335.733536
H5,C26,755.1359605
H6,C26,669.4772367
H7,C26,781.8534127
H8,C26,765.0355116
H9,C26,739.5119647
H12,C26,939.5517071
H10,C26,815.9746745
H11,C26,840.9310943
H1,C27,704.6118303
H2,C27,737.8504992
H3,C27,727.4630842
H4,C27,729.88797
H5,C27,1260.385779
H6,C27,1174.727056
H7,C27,1287.103232
H8,C27,1270.285331
H9,C27,1028.842563
H12,C27,1228.882305
H10,C27,1105.305273
H11,C27,1130.261693
H1,C28,2056.445634
H2,C28,2089.684302
H3,C28,2079.296887
H4,C28,2081.721773
H5,C28,1737.556542
H6,C28,1651.897818
H7,C28,1764.273994
H8,C28,1747.456093
H9,C28,487.7323836
H12,C28,625.0273431
H10,C28,564.1950934
H11,C28,589.1515133
H1,C31,852.8424595
H2,C31,886.0811284
H3,C31,875.6937134
H4,C31,878.1185992
H5,C31,297.5210235
H6,C31,211.8622997
H7,C31,324.2384757
H8,C31,307.4205746
H9,C31,1373.925193
H10,C31,1450.387903
H1,C29,545.8146478
H2,C29,579.0533167
H3,C29,568.6659016
H4,C29,571.0907875
H5,C29,525.339671
H6,C29,439.6809472
H7,C29,552.0571232
H8,C29,535.2392221
H9,C29,1720.265631
H12,C29,1920.305373
H10,C29,1796.728341
H11,C29,1821.684761
H1,C30,1132.854652
H2,C30,1166.093321
H3,C30,1155.705906
H4,C30,1158.130792
H5,C30,577.533216
H6,C30,491.8744922
H7,C30,604.2506682
H8,C30,587.4327671
H9,C30,920.0067033
H12,C30,1120.046446
H10,C30,996.4694131
H11,C30,1021.425833
H11,C31,1475.344323
H12,C31,1573.964936
