origin_id,destination_id,total_cost
H24,C25,1954.695244
H24,C26,753.9555236
H24,C27,1753.468596
H24,C28,917.2369181
H24,C31,1485.492987
H24,C29,2037.615141
H24,C30,1131.271746
H25,C1,2041.199236
H25,C2,2118.789099
H25,C3,2019.86802
H25,C4,1937.410415
H25,C5,1658.809754
H25,C6,1471.520444
H25,C8,1660.723607
H25,C9,1797.354917
H25,C10,1533.252974
H25,C11,1301.907899
H25,C12,1432.300141
H25,C13,1561.57796
H25,C14,1008.721458
H25,C15,1821.466932
H25,C16,2019.246408
H25,C17,592.5686961
H25,C18,332.3315484
H25,C19,56.88113184
H25,C20,430.1678752
H25,C7,620.2924768
H25,C21,1859.074225
H25,C22,260.2346254
H25,C23,485.8949341
H25,C24,146.5613883
H25,C25,1785.95468
H25,C26,720.4886795
H25,C27,1584.728032
H25,C28,748.4963543
H25,C31,1452.026143
H25,C29,1868.874578
H25,C30,1097.804902
H26,C1,2069.379808
H26,C2,2146.96967
H26,C3,1904.46842
H26,C4,1822.010816
H26,C5,1543.410155
H26,C6,1356.120845
H26,C8,1545.324008
H26,C9,1937.180028
H26,C10,1673.078086
H26,C11,1441.733011
H26,C12,1572.125253
H26,C13,1701.403071
H26,C14,1148.54657
H26,C15,1706.067333
H26,C16,1903.846808
H26,C17,732.3938076
H26,C18,472.1566598
H26,C19,128.9457182
H26,C20,314.768276
H26,C7,507.5529116
H26,C21,1743.674625
H26,C22,332.2992118
H26,C23,625.7200456
H26,C24,286.3864997
H26,C25,1670.555081
H26,C26,860.313791
H26,C27,1469.328433
H26,C28,633.096755
H26,C31,1591.851254
H26,C29,1753.474978
H26,C30,1237.630013
H27,C1,1999.465046
H27,C2,2077.054909
H27,C3,1834.553659
H27,C4,1752.096055
H27,C5,1473.495394
H27,C6,1286.206083
H27,C8,1475.409247
H27,C9,2000.445487
H27,C10,1736.343544
H27,C11,1504.998469
H27,C12,1635.390711
H27,C13,1764.668529
H27,C14,1211.812028
H27,C15,1636.152571
H27,C16,1833.932047
H27,C17,795.6592659
H27,C18,535.4221182
H27,C19,189.7111484
H27,C20,565.49792
H27,C7,429.4972346
H27,C21,1673.759864
H27,C22,69.43938323
H27,C23,688.985504
H27,C24,349.6519581
H27,C25,1600.640319
H27,C26,923.5792494
H27,C27,1399.413672
H27,C28,563.1819938
H27,C31,1655.116712
H27,C29,1683.560217
H27,C30,1300.895471
H28,C1,2081.211505
H28,C2,2158.801368
H28,C3,1916.300117
H28,C4,1833.842513
H28,C5,1555.241852
H28,C6,1367.952542
H28,C8,1557.155705
H28,C9,1983.052069
H28,C10,1718.950126
H28,C11,1487.605051
H28,C12,1617.997294
H28,C13,1747.275112
H28,C14,1194.41861
H28,C15,1717.89903
H28,C16,1915.678505
H28,C17,778.2658483
H28,C18,518.0287006
H28,C19,172.3177308
H28,C20,548.1045024
H28,C7,511.243693
H28,C21,1755.506322
H28,C22,151.1858416
H28,C23,671.5920863
H28,C24,332.2585405
H28,C25,1682.386778
H28,C26,906.1858317
H28,C27,1481.16013
H28,C28,644.9284522
H28,C31,1637.723295
H28,C29,1765.306675
H28,C30,1283.502054
H29,C1,1736.767059
H29,C2,1814.356922
H29,C3,1571.855672
H29,C4,1489.398067
H29,C5,1210.797407
H29,C6,1023.508096
H29,C8,1212.71126
H29,C9,1808.193797
H29,C10,1544.091854
H29,C11,1312.746779
H29,C12,1443.139021
H29,C13,1572.41684
H29,C14,1019.560338
H29,C15,1373.454584
H29,C16,1571.23406
H29,C17,608.9777784
H29,C18,859.825785
H29,C19,559.8054859
H29,C20,359.2970465
H29,C7,166.7992472
H29,C21,1411.061877
H29,C22,362.8286062
H29,C23,1021.377863
H29,C24,719.7462956
H29,C25,1337.942332
H29,C26,731.3275596
H29,C27,1136.715685
H29,C28,300.4840063
H29,C31,1462.865023
H29,C29,1420.86223
H29,C30,1108.643782
H30,C1,1726.312772
H30,C2,1803.902634
H30,C3,1561.401384
H30,C4,1478.94378
H30,C5,1200.343119
H30,C6,1013.053808
H30,C8,1202.256972
H30,C9,1797.73951
H30,C10,1533.637567
H30,C11,1302.292492
H30,C12,1432.684734
H30,C13,1561.962552
H30,C14,1009.106051
H30,C15,1363.000296
H30,C16,1560.779772
H30,C17,598.5234909
H30,C18,819.3166413
H30,C19,476.1056997
H30,C20,105.1464013
H30,C7,164.4858755
H30,C21,1400.607589
H30,C22,525.8060311
H30,C23,972.880027
H30,C24,633.5464812
H30,C25,1327.488044
H30,C26,720.8732721
H30,C27,1126.261397
H30,C28,290.0297188
H30,C31,1452.410735
H30,C29,1410.407942
H30,C30,1098.189494
H31,C1,1631.613584
H31,C2,1709.203447
H31,C3,1466.702197
H31,C4,1384.244592
H31,C5,1105.643932
H31,C6,918.3546211
H31,C8,1107.557785
H31,C9,1703.040322
H31,C10,1438.93838
H31,C11,1207.593304
H31,C12,1337.985547
H31,C13,1467.263365
H31,C14,914.4068635
H31,C15,1268.301109
H31,C16,1466.080585
H31,C17,503.8243037
H31,C18,754.6723102
H31,C19,560.6036931
H31,C20,189.6443948
H31,C7,69.78668819
H31,C21,1305.908402
H31,C22,431.1068438
H31,C23,916.2243884
H31,C24,718.0444746
H31,C25,1232.788857
H31,C26,626.1740848
H31,C27,1031.56221
H31,C28,195.3305316
H31,C31,1357.711548
H31,C29,1315.708755
H31,C30,1003.490307
H32,C1,825.3659981
H32,C2,902.9558607
H32,C3,660.4546106
H32,C4,577.9970062
H32,C5,299.3963456
H32,C6,112.1070349
H32,C8,301.3101986
H32,C9,945.9113331
H32,C10,1198.907245
H32,C11,1442.643333
H32,C12,1573.035575
H32,C13,1702.313394
H32,C14,1378.619369
H32,C15,462.053523
H32,C16,659.8329987
H32,C17,968.0368093
H32,C18,1218.884816
H32,C19,1343.096404
H32,C20,972.1371053
H32,C7,787.7802218
H32,C21,499.6608157
H32,C22,1149.100377
H32,C23,1380.436894
H32,C24,1400.756128
H32,C25,426.5412709
H32,C26,1090.38659
H32,C27,225.3146236
H32,C28,659.5430372
H32,C31,1465.81008
H32,C29,509.4611687
H32,C30,1467.702813
H33,C1,677.309173
H33,C2,754.8990357
H33,C3,795.5711876
H33,C4,713.1135832
H33,C5,434.5129226
H33,C6,247.2236118
H33,C8,436.4267755
H33,C9,904.2111499
H33,C10,1157.207062
H33,C11,1400.94315
H33,C12,1531.335392
H33,C13,1660.613211
H33,C14,1597.996449
H33,C15,597.1700999
H33,C16,794.9495757
H33,C17,1187.413889
H33,C18,1438.261896
H33,C19,1562.473483
H33,C20,1191.514185
H33,C7,1007.157301
H33,C21,634.7773926
H33,C22,1368.477457
H33,C23,1599.813974
H33,C24,1620.133208
H33,C25,561.6578478
H33,C26,1309.76367
H33,C27,360.4312005
H33,C28,878.9201169
H33,C31,1424.109897
H33,C29,352.6865449
H33,C30,1687.079892
H34,C1,668.2397927
H34,C2,745.8296553
H34,C3,503.3284052
H34,C4,420.8708008
H34,C5,142.2701402
H34,C6,185.9989963
H34,C8,36.29531208
H34,C9,788.7851277
H34,C10,1041.78104
H34,C11,1285.517128
H34,C12,1415.90937
H34,C13,1545.187188
H34,C14,1576.677159
H34,C15,517.4573699
H34,C16,715.2368457
H34,C17,1222.081694
H34,C18,1472.929701
H34,C19,1597.141289
H34,C20,1226.181991
H34,C7,1041.825107
H34,C21,555.0646626
H34,C22,1403.145263
H34,C23,1634.481779
H34,C24,1654.801013
H34,C25,269.4150655
H34,C26,1344.431476
H34,C27,68.18841817
H34,C28,913.5879224
H34,C31,1308.683875
H34,C29,679.2455511
H34,C30,1673.006944
H35,C1,592.8723128
H35,C2,670.4621755
H35,C3,427.9609254
H35,C4,345.503321
H35,C5,66.90266035
H35,C6,249.5697795
H35,C8,207.7547763
H35,C9,713.4176478
H35,C10,966.4135599
H35,C11,1210.149648
H35,C12,1340.54189
H35,C13,1469.819708
H35,C14,1501.309679
H35,C15,581.0281531
H35,C16,778.8076288
H35,C17,1285.652478
H35,C18,1536.500484
H35,C19,1660.712072
H35,C20,1289.752774
H35,C7,1105.39589
H35,C21,618.6354458
H35,C22,1466.716046
H35,C23,1698.052562
H35,C24,1718.371796
H35,C25,194.0475856
H35,C26,1408.002259
H35,C27,129.9531092
H35,C28,977.1587055
H35,C31,1233.316395
H35,C29,742.8163342
H35,C30,1597.639464
H36,C1,642.0412359
H36,C2,719.6310986
H36,C3,477.1298485
H36,C4,394.6722441
H36,C5,116.0715834
H36,C6,298.7387025
H36,C8,256.9236994
H36,C9,762.5865709
H36,C10,1015.582483
H36,C11,1259.318571
H36,C12,1389.710813
H36,C13,1518.988632
H36,C14,1550.478602
H36,C15,630.1970762
H36,C16,827.9765519
H36,C17,1334.821401
H36,C18,1585.669407
H36,C19,1709.880995
H36,C20,1338.921697
H36,C7,1154.564813
H36,C21,667.8043689
H36,C22,1515.884969
H36,C23,1747.221485
H36,C24,1767.54072
H36,C25,243.2165087
H36,C26,1457.171182
H36,C27,179.1220323
H36,C28,1026.327629
H36,C31,1282.485318
H36,C29,791.9852573
H36,C30,1646.808387
H37,C1,355.4577209
H37,C2,433.0475835
H37,C3,410.8403292
H37,C4,492.3561307
H37,C5,775.8027723
H37,C6,647.3685147
H37,C8,836.5716784
H37,C9,499.191172
H37,C10,752.1870841
H37,C11,995.9231721
H37,C12,1126.315414
H37,C13,1255.593233
H37,C14,1287.083203
H37,C15,997.3150028
H37,C16,1195.094479
H37,C17,1587.558792
H37,C18,1838.406798
H37,C19,1962.618386
H37,C20,1591.659088
H37,C7,1407.302204
H37,C21,1034.922295
H37,C22,1768.62236
H37,C23,1999.958877
H37,C24,2020.278111
H37,C25,842.8344027
H37,C26,1568.384985
H37,C27,760.5761034
H37,C28,1279.06502
H37,C31,1019.089919
H37,C29,151.6821691
H37,C30,1383.412988
H38,C1,410.4884341
H38,C2,488.0782968
H38,C3,245.5770467
H38,C4,163.1194423
H38,C5,165.1931767
H38,C6,354.5253283
H38,C8,312.7103251
H38,C9,531.0337691
H38,C10,784.0296812
H38,C11,1027.765769
H38,C12,1158.158012
H38,C13,1287.43583
H38,C14,1318.925801
H38,C15,685.9837019
H38,C16,883.7631777
H38,C17,1390.608026
H38,C18,1641.456033
H38,C19,1765.667621
